GeneID	I1_plate5_F_5	I1_plate5_F_6	I1_plate5_A_7	I1_plate11_H_10	I1_plate9_H_1	I1_plate10_F_2	I1_plate11_H_6	I1_plate16_B_10	I1_plate17_A_7	I1_plate9_A_3	I1_plate6_E_7	I1_plate16_G_3	I1_plate16_E_7	I1_plate5_G_9	I1_plate16_E_12	I1_plate5_F_3	I1_plate8_D_6	I1_plate17_F_12	I1_plate16_F_4	I1_plate10_B_2	I1_plate6_E_6	I1_plate6_D_12	I1_plate18_H_1	I1_plate15_C_8	I1_plate8_B_7	I1_plate6_C_6	I1_plate7_C_12	I1_plate5_F_10	I1_plate8_G_6	I1_plate19_B_6	I1_plate7_E_3	I1_plate15_G_12	I1_plate19_A_7	I1_plate4_H_9	I1_plate15_E_9	I1_plate19_D_6	I1_plate6_G_11	I1_plate19_E_5	I1_plate18_H_8	I1_plate7_G_9	I1_plate18_G_2	I1_plate4_B_12	I1_plate19_F_10	I1_plate5_G_1	I1_plate15_D_10	I1_plate7_F_5	I1_plate17_H_1	I1_plate3_F_10	I1_plate17_B_4	I1_plate6_A_6	I1_plate7_H_4	I1_plate19_D_1	I1_plate4_F_8	I1_plate16_A_6	I1_plate3_A_10	I1_plate4_G_8	I1_plate4_F_9	I1_plate4_A_1	I1_plate15_B_11	I1_plate3_A_12	I1_plate19_B_12	I1_plate3_F_3	I1_plate8_D_10	I1_plate9_F_6	I1_plate6_E_2	I1_plate9_H_11	I1_plate8_G_1	I1_plate15_B_1	I1_plate17_B_1	I1_plate16_B_2	I1_plate16_C_9	I1_plate6_F_8	I1_plate11_F_1	I1_plate7_B_6	I1_plate19_A_4	I1_plate8_E_11	I1_plate10_B_4	I1_plate10_C_2	I1_plate8_A_2	I1_plate10_F_8	I1_plate3_D_3	I1_plate18_H_6	I1_plate8_B_9	I1_plate18_F_5	I1_plate15_A_12	I1_plate17_E_8	I1_plate3_C_11	I1_plate15_H_5	I1_plate4_B_3	I1_plate18_C_3	I1_plate17_C_7	I1_plate18_D_3	I1_plate15_F_5	I1_plate9_C_6	I1_plate16_C_6	I1_plate15_G_8	I1_plate9_B_2	I1_plate11_A_2	I1_plate17_A_9	I1_plate17_A_4
NIPAL3 (ENSG00000001461)	1	0	132	0	76	0	48	0	0	85	38	0	0	0	21	1	1	128	0	1	0	0	1	151	332	21	0	0	42	0	0	0	2	0	17	0	97	128	0	0	0	0	36	0	3	89	29	123	0	34	0	0	30	0	0	0	20	0	0	0	0	0	3	57	0	51	0	63	0	0	0	1	0	100	0	0	72	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	130	0	0	0	0	0	42	77
LAS1L (ENSG00000001497)	0	1	158	0	107	0	111	4	91	0	0	1	171	48	0	69	1	272	0	1	0	1	3	0	136	0	0	0	174	0	184	0	114	21	126	148	92	210	341	108	0	181	0	103	0	190	2	0	0	0	231	41	0	0	63	0	24	83	123	0	51	0	56	179	33	62	0	162	0	199	42	1	0	142	0	3	24	0	0	0	0	0	0	0	0	0	0	0	177	142	8	90	0	0	163	0	0	129	2	0
ENPP4 (ENSG00000001561)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	1	0	61	1	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	117	0	0	0	14	0	0	0	0	0	0	0	64	0	0	0	0	0	19	0	0	0	0	0
ANKIB1 (ENSG00000001629)	0	0	215	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	69	0	0	0	0	0	0	16	53	0	0	28	161	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	10	6	33	0	0	0	0	0	0	5	0	6	0	0	0	0	78	0	0	0	0	267	3	0	0	8	74	0	0	39	0	0	42	0	83	0	0	0	0	0	0	17	0	0	0
CYP51A1 (ENSG00000001630)	0	0	1	25	0	60	0	0	38	44	58	0	0	23	0	0	0	99	0	0	49	21	11	16	1	6	0	0	106	0	11	0	0	0	1	0	22	122	48	8	0	0	0	18	1	79	0	19	59	0	0	0	53	1	179	22	0	8	36	5	45	36	11	303	20	0	73	8	0	12	0	85	20	1	0	0	286	0	0	0	82	0	0	113	0	19	24	1	27	92	23	0	0	0	51	147	0	0	0	119
KRIT1 (ENSG00000001631)	0	13	154	2	24	74	42	0	49	18	25	0	0	0	95	0	0	0	0	0	97	0	22	0	67	10	103	0	0	90	0	55	0	20	0	0	0	0	70	0	0	193	0	1	1	0	0	155	0	0	0	1	0	0	15	0	29	4	0	64	0	0	14	39	5	0	0	0	0	10	26	0	1	0	0	58	0	0	111	161	0	1	0	0	0	0	0	0	21	113	0	0	0	0	0	73	30	0	0	15
RAD52 (ENSG00000002016)	33	87	32	0	0	1	0	43	15	0	16	0	13	2	0	16	0	0	0	7	31	0	2	0	71	0	60	1	0	30	0	70	0	6	1	0	1	33	0	1	0	51	0	0	0	0	4	64	0	2	0	50	0	78	27	11	0	3	33	0	0	0	0	60	0	0	0	10	53	0	41	0	0	0	1	0	24	12	1	0	0	0	0	45	0	3	77	87	1	0	0	1	3	0	0	0	0	0	1	0
BAD (ENSG00000002330)	0	14	107	54	0	0	0	0	0	52	0	86	190	0	0	0	0	0	0	0	0	67	2	39	202	81	70	0	106	0	102	0	65	35	56	0	35	0	0	78	31	197	45	0	0	0	1	82	0	0	115	0	0	0	63	1	20	24	48	25	14	0	181	0	0	3	0	82	177	0	0	21	0	22	0	74	12	0	0	189	51	0	146	52	134	25	0	0	82	99	0	0	104	0	0	0	0	0	113	21
LAP3 (ENSG00000002549)	0	0	173	52	0	13	87	0	0	120	0	0	0	126	0	0	1	0	213	1	3	115	2	133	0	63	0	138	95	0	129	0	64	85	0	242	1	0	0	46	0	1	1	59	190	17	107	98	0	0	0	48	0	0	150	0	112	72	89	75	2	0	325	146	0	18	55	0	127	0	1	194	0	0	0	0	0	95	0	106	0	0	0	77	109	34	123	88	107	0	0	2	0	48	116	0	39	0	163	0
CD99 (ENSG00000002586)	793	194	1312	191	0	95	198	166	202	109	377	101	470	94	1	66	123	184	233	174	1	547	52	473	1443	262	653	620	91	178	285	335	373	23	232	181	208	228	0	87	153	470	250	93	152	465	135	522	524	45	138	127	243	435	130	70	344	142	59	62	196	61	379	170	141	60	745	51	0	101	0	751	150	241	51	122	115	174	0	0	98	82	30	414	453	77	197	518	308	184	76	0	148	314	66	261	2	191	518	94
HS3ST1 (ENSG00000002587)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD1L1 (ENSG00000002822)	0	0	0	0	0	0	0	0	0	0	0	7	165	183	0	0	0	0	0	56	0	77	2	0	0	3	0	0	0	0	236	0	0	0	106	0	72	0	189	199	209	0	0	16	1	0	3	198	0	0	81	0	0	0	0	0	0	25	0	0	0	0	99	101	0	17	0	90	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	70	0	0	116	0	0	0	0	66	0	30	0	0	0	139
LASP1 (ENSG00000002834)	0	9	0	5	23	1	1	0	2	0	6	0	0	0	121	136	0	0	0	0	191	0	1	25	34	16	4	0	0	1	0	0	90	5	0	212	96	0	193	1	0	47	0	25	0	128	1	0	0	44	50	0	0	176	240	21	0	50	0	44	0	0	1	4	9	0	0	42	142	0	0	0	0	174	121	10	64	0	24	0	85	0	83	0	0	35	14	243	140	371	0	0	0	0	0	0	25	66	88	0
SNX11 (ENSG00000002919)	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	8	117	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	1	0	0	126	0	54	0	0	0	0	0	0	0	0
M6PR (ENSG00000003056)	0	45	164	19	0	58	292	164	63	0	0	0	217	99	60	153	8	160	60	102	15	21	6	0	1	77	173	0	0	20	217	1	245	78	1	165	55	25	0	223	0	0	77	80	0	0	3	353	125	46	99	0	65	0	20	0	18	123	42	23	135	1	15	115	0	23	35	175	130	44	0	0	138	76	115	0	156	56	0	35	4	79	0	135	0	21	13	97	170	135	60	92	5	87	68	32	13	125	0	0
KLHL13 (ENSG00000003096)	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	63	0	1	182	0	22	112	0	1	0	0	0	72	0	0	0	0	0	0	0	54	0	0	0	0	184	0	0	0	0	1	0	0	0	59	0	0	0	0	0	0	46	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	68	0
ICA1 (ENSG00000003147)	0	67	80	0	56	0	0	0	39	59	43	0	211	0	102	0	10	146	222	214	2	45	303	0	0	153	33	0	12	135	0	92	0	74	204	0	0	162	76	1	84	0	17	50	219	0	0	132	327	0	0	0	0	70	0	93	0	53	0	0	1	0	71	113	79	0	2	0	0	0	18	0	0	0	0	2	162	0	0	24	74	0	0	0	223	0	0	7	250	48	0	22	298	0	0	0	44	0	106	0
ALS2 (ENSG00000003393)	0	0	3	0	0	0	25	45	31	0	0	0	124	0	0	55	0	0	0	0	0	0	242	0	0	0	0	1	6	110	105	0	0	0	0	2	27	0	0	0	0	0	3	0	0	82	0	0	107	0	0	0	0	0	0	0	0	85	0	0	0	27	0	36	0	36	0	0	0	0	0	104	13	0	16	0	0	0	1	0	12	0	0	0	0	0	0	0	10	107	17	2	0	0	0	0	0	0	0	0
CASP10 (ENSG00000003400)	0	0	10	0	0	1	0	0	0	0	0	0	1	5	0	1	0	0	104	12	0	1	2	0	71	119	0	34	0	21	2	0	12	0	0	0	0	0	0	0	0	0	56	0	7	146	1	0	0	0	0	0	19	21	116	57	0	0	0	0	2	0	0	0	0	12	0	0	0	0	13	0	0	0	0	0	139	0	0	0	0	0	20	68	0	23	0	0	8	79	86	2	0	0	0	37	79	0	0	0
CFLAR (ENSG00000003402)	32	0	110	1	0	71	29	114	62	93	11	1	0	0	145	22	0	147	0	0	0	1	2	74	14	91	210	0	123	0	97	38	0	37	100	0	149	0	1	2	0	0	29	61	289	0	2	2	0	0	0	30	95	85	28	73	0	2	0	0	140	54	0	45	53	14	0	0	151	0	0	104	228	0	0	1	130	0	0	1	37	23	0	17	0	0	216	0	190	0	0	0	0	74	0	0	0	0	33	0
TFPI (ENSG00000003436)	0	0	57	0	18	0	5	195	75	0	0	35	0	0	31	0	0	0	0	0	0	5	33	0	15	4	0	0	36	120	0	36	4	0	0	2	27	28	178	27	0	77	48	0	0	25	16	66	0	0	23	0	41	72	0	0	2	0	31	0	26	1	0	0	6	2	1	0	0	0	0	15	0	114	0	0	34	0	0	0	36	0	11	0	97	24	0	10	3	114	0	13	0	53	0	63	0	0	8	87
NDUFAF7 (ENSG00000003509)	0	0	24	0	19	0	42	0	0	0	0	0	0	0	55	0	0	0	0	0	130	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	149	0	1	0	58	171	0	0	0	0	0	0	96	0	0	0	92	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	60	0	0	0	0	0	0	0	3	0
RBM5 (ENSG00000003756)	45	0	1	7	0	115	47	0	102	0	0	0	0	0	0	302	65	0	154	201	70	4	200	201	358	153	587	2	15	86	0	202	237	118	61	284	58	115	168	33	97	0	0	25	0	273	1	2	0	106	102	77	21	128	0	68	84	117	150	37	232	76	0	390	36	53	32	82	138	172	27	0	8	3	94	43	156	131	1	33	167	0	76	72	77	58	53	12	0	70	0	85	0	0	81	103	99	0	187	0
MTMR7 (ENSG00000003987)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF5 (ENSG00000004059)	255	213	146	52	56	220	257	0	0	83	198	114	216	86	0	73	71	0	0	36	1	162	386	133	317	74	0	178	512	0	89	180	134	46	265	287	212	0	119	384	0	113	44	25	244	259	113	396	1	113	120	0	94	705	226	37	51	55	118	13	238	106	326	115	68	65	9	94	0	153	0	0	0	122	0	1	55	50	0	89	33	0	2	0	1	37	128	141	155	256	191	176	1	0	66	177	120	92	108	114
SARM1 (ENSG00000004139)	0	0	0	0	0	0	0	0	0	0	0	0	0	59	49	0	0	0	0	1	0	0	90	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	0	51	0	0	0	21
PLXND1 (ENSG00000004399)	0	0	0	55	0	44	0	0	8	0	10	152	0	2	0	0	17	0	0	65	0	0	5	219	57	0	0	0	246	3	1	80	0	30	32	65	0	0	78	42	0	22	1	58	0	0	197	0	0	0	12	0	0	0	37	12	0	54	0	0	0	0	20	41	30	0	1	14	0	0	0	0	0	1	0	46	40	0	0	1	0	0	30	0	0	52	77	0	148	118	1	0	0	0	0	0	19	0	4	0
AK2 (ENSG00000004455)	63	0	46	86	3	5	0	470	71	282	2	0	0	98	40	21	121	53	0	185	327	24	125	28	310	240	256	261	378	189	386	128	176	30	161	185	399	35	174	46	203	0	178	134	0	0	21	504	57	96	154	7	83	150	178	0	87	226	91	20	295	132	547	516	166	34	159	0	0	0	117	56	36	142	69	0	875	1	41	0	90	0	0	349	0	76	348	229	389	675	123	101	358	0	62	86	50	306	81	0
CD38 (ENSG00000004468)	54	0	91	0	0	0	56	0	0	0	0	0	0	0	0	0	25	0	0	2	45	37	0	0	0	165	0	0	6	0	92	0	0	18	1	0	0	47	0	53	0	0	0	18	0	0	0	66	0	0	105	0	108	0	38	0	23	4	12	10	0	12	24	108	34	19	132	0	0	0	0	0	0	6	0	0	225	52	0	19	0	0	0	0	58	13	66	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP4 (ENSG00000004478)	0	6	0	125	70	0	208	125	19	119	0	0	180	188	0	0	77	279	153	0	49	0	5	206	1	41	0	0	262	13	143	0	84	87	0	0	231	20	130	384	0	127	38	179	179	1	3	21	163	0	14	115	0	0	1	0	1	244	171	85	312	1	375	208	0	47	299	37	0	65	0	199	0	43	48	0	285	21	0	98	85	0	0	0	94	0	48	0	323	154	0	57	147	0	0	0	18	1	206	118
KDM1A (ENSG00000004487)	159	0	127	0	1	1	0	233	0	13	0	0	0	11	0	329	0	381	1	41	150	0	2	0	0	127	0	0	34	0	52	0	110	122	1	151	23	0	0	329	123	129	0	40	208	255	219	79	191	0	2	0	1	0	91	73	22	2	109	17	0	6	305	4	50	37	1	0	0	0	0	80	0	53	0	47	257	0	0	262	153	62	27	38	0	33	185	0	307	0	1	75	318	0	0	0	35	0	10	163
RBM6 (ENSG00000004534)	49	84	122	98	0	0	0	0	0	21	46	1	83	20	2	83	38	3	219	4	0	106	12	98	192	53	115	0	0	84	145	0	98	61	3	13	57	7	137	0	0	1	125	49	0	243	1	120	0	0	4	33	0	189	0	0	46	71	0	22	58	0	65	87	59	1	10	0	32	0	66	0	203	290	1	1	163	227	250	44	40	107	133	35	200	8	76	188	40	4	6	44	34	0	212	0	2	94	119	60
CAMKK1 (ENSG00000004660)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	81	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL (ENSG00000004700)	94	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	8	0	0	0	0	0	69	0	0	0	0	0	0	0	87	0	66	31	262	0	65	31	0	0	0	0	0	0	0	0	2	164	0	0	31	0	0	0	17	0	0	0	72	0	0	0	9	49	0	0	48	0	127	0	0	0	0	114	0	0	302	0	46	0	0	0	135	0	105	31	0	93	84	0	0	0	0	50	0	0	0	0	0	0
VPS50 (ENSG00000004766)	0	0	0	24	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	28	38	0	0	2	0	0	0	0	0	0	0	0	107	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	0	0	0	120	0
HSPB6 (ENSG00000004776)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0
ARHGAP33 (ENSG00000004777)	2	0	5	0	0	33	0	0	0	0	0	0	0	0	0	7	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
NDUFAB1 (ENSG00000004779)	0	0	0	71	63	78	0	0	122	0	91	158	230	66	0	0	97	72	37	238	96	83	4	27	421	79	0	0	142	33	119	78	56	64	53	117	156	67	53	0	52	58	43	4	0	242	0	148	0	40	88	113	58	0	52	41	184	242	31	2	0	75	308	398	1	27	89	118	1	92	0	53	41	77	0	121	533	0	0	86	55	120	2	80	0	37	1	115	191	113	158	22	82	26	0	0	8	125	242	69
SLC22A16 (ENSG00000004809)	0	51	0	0	0	0	0	0	52	0	57	0	260	0	0	115	15	0	35	111	4	0	2	0	0	0	0	0	1	0	0	205	0	11	0	0	55	0	0	94	0	0	0	0	122	0	1	0	153	0	80	0	0	0	0	0	0	0	0	0	0	50	43	0	0	0	0	0	0	0	0	119	0	210	0	0	0	68	0	9	0	114	0	69	4	0	61	0	19	6	0	66	0	0	0	0	18	0	0	0
ZMYND10 (ENSG00000004838)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A13 (ENSG00000004864)	64	1	83	0	9	153	0	0	0	0	0	0	0	0	0	0	83	21	91	1	0	0	0	0	0	0	0	0	5	0	27	0	0	0	0	0	0	0	0	0	0	0	80	0	70	0	1	0	0	0	67	0	0	26	29	28	58	7	0	6	0	5	6	62	54	0	0	0	0	0	0	34	0	74	17	37	89	0	0	0	85	0	41	296	22	24	0	0	73	0	0	0	0	0	0	0	0	53	68	0
ST7 (ENSG00000004866)	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	96	0	91	0	1	3	0	4	0	0	0	111	0	0	0	0	0	187	0	0	36	40	0	8	0	0	182	253	2	0	92	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	57	0	0	0	0
CDC27 (ENSG00000004897)	139	1	70	50	40	179	0	0	37	0	27	0	64	29	0	5	0	276	115	0	0	25	0	73	623	46	0	0	88	0	0	65	0	71	0	0	113	0	0	0	0	0	0	9	0	42	1	9	0	0	83	81	1	0	0	0	72	64	0	0	0	0	91	325	112	43	0	0	0	0	78	0	0	1	0	26	248	0	0	0	0	11	11	0	0	33	185	64	57	0	0	0	0	0	0	0	6	293	119	0
HCCS (ENSG00000004961)	0	1	0	0	0	36	1	0	0	0	0	0	40	0	83	0	11	0	0	16	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	43	1	0	71	0	0	0	0	0	1	0	0	0	38	0	77	0	0	0	0	19	0	3	0	0	0	95	0	0	0	0	0	0	0	77	0	101	0	0	51	127	0	0	0	0	57	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0
